model,time_utc,elfin_x_gsm_re,elfin_y_gsm_re,elfin_z_gsm_re,elfin_r_re,elfin_b_tot_nt,field_line_type,fp_north_x_gsm_re,fp_north_y_gsm_re,fp_north_z_gsm_re,fp_north_lat_deg,fp_north_lon_deg,fp_north_alt_km,fp_south_x_gsm_re,fp_south_y_gsm_re,fp_south_z_gsm_re,fp_south_lat_deg,fp_south_lon_deg,fp_south_alt_km,field_line_len_re,flux_tube_vol_re_nt,b_normal_north_nt,b_normal_south_nt,min_b_tot_nt
argus,2022-09-04T04:00:00Z,0.740492206202,-0.408356032126,0.613003235532,1.04444067481,49399.0703892,closed_100km,0.713160086191,-0.392181956460,0.606755406674,44.1469594161,89.3061443205,99.9998613279,0.729625811443,-0.372590568942,-0.600892017299,-29.0821276542,93.5298603343,99.9998999893,2.53404892077,0.000219514117452,-49614.6110886,47059.0534271,6524.78774095
argus,2022-09-04T04:00:01Z,0.739846499872,-0.408038725028,0.613989489020,1.04443838359,49423.1897578,closed_100km,0.712542358970,-0.391877165273,0.607671097200,44.2111583798,89.2953768191,99.9998613091,0.729111496384,-0.372192492730,-0.601757266432,-29.1430648719,93.5359362169,99.9998997248,2.54402890381,0.000221515955851,-49662.9866251,47100.4129054,6482.30322701
argus,2022-09-04T04:00:02Z,0.739199744899,-0.407720807257,0.614974883624,1.04443603299,49447.2482452,closed_100km,0.711923683939,-0.391571821563,0.608586093611,44.2753621432,89.2845953385,99.9998612916,0.728589800897,-0.371789828329,-0.602632257139,-29.2047336746,93.5420974813,99.9998994577,2.55405628873,0.000223539708270,-49711.2087320,47142.1544619,6439.93974081
argus,2022-09-04T04:00:03Z,0.738552036182,-0.407402329355,0.615959405551,1.04443370177,49471.2316310,closed_100km,0.711304081410,-0.391265932027,0.609500367529,44.3395688042,89.2738002320,99.9998612755,0.728048118560,-0.371375199752,-0.603536549387,-29.2685126717,93.5484458212,99.9998991821,2.56414085423,0.000225585775317,-49759.2759185,47185.1972165,6398.30417009
argus,2022-09-04T04:00:04Z,0.737903299514,-0.407083280082,0.616943141857,1.04443138436,49495.1426953,closed_100km,0.710683485247,-0.390959488658,0.610414000150,44.4037841399,89.2629891377,99.9998612609,0.727535150395,-0.370977210722,-0.604394207086,-29.3290577752,93.5545833832,99.9998989210,2.57424430264,0.000227653864275,-49807.1923213,47225.9610887,6356.48821314
argus,2022-09-04T04:00:05Z,0.737253572738,-0.406763682060,0.617926009650,1.04442906746,49518.9815360,closed_100km,0.710061943727,-0.390652520287,0.611326916532,44.4680029426,89.2521621295,99.9998612476,0.726996189321,-0.370563756271,-0.605290404530,-29.3923661076,93.5609560851,99.9998986486,2.58441051492,0.000229744949556,-49854.9539099,47268.4577482,6314.62959359
argus,2022-09-04T04:00:06Z,0.736602890744,-0.406443490068,0.618908083378,1.04442680210,49542.7412235,closed_100km,0.709439444560,-0.390344956737,0.612239174805,44.5322295565,89.2413232679,99.9998612357,0.726464432160,-0.370154252993,-0.606173535547,-29.4548031394,93.5672971939,99.9998983806,2.59461329317,0.000231858928974,-49902.5642178,47310.2594660,6273.49171144
argus,2022-09-04T04:00:07Z,0.735951161583,-0.406122721469,0.619889219450,1.04442444510,49566.4427113,closed_100km,0.708816027617,-0.390036890213,0.613150670104,44.5964564987,89.2304680648,99.9998612252,0.725950834519,-0.369755218931,-0.607026712507,-29.5151745231,93.5735115359,99.9998981220,2.60484317140,0.000233995690909,-49950.0171775,47350.5799067,6232.29617072
argus,2022-09-04T04:00:08Z,0.735298440841,-0.405801370280,0.620869565619,1.04442212095,49590.0679024,closed_100km,0.708191634866,-0.389728249172,0.614061513855,44.6606918474,89.2195987167,99.9998612161,0.725409038107,-0.369339396562,-0.607921589756,-29.5785389835,93.5799819131,99.9998978512,2.61513875522,0.000236156509376,-49997.3189732,47392.7713912,6190.96190514
argus,2022-09-04T04:00:09Z,0.734644766356,-0.405479459132,0.621849038994,1.04441981588,49613.6170001,closed_100km,0.707566315011,-0.389419062701,0.614971631200,44.7249303824,89.2087153054,99.9998612084,0.724876208953,-0.368928609046,-0.608800739421,-29.6408422350,93.5864033339,99.9998975856,2.62546956019,0.000238340930264,-50044.4656208,47434.1482344,6150.34676489
