    model            time_utc      elfin_x_gsm_re      elfin_y_gsm_re      elfin_z_gsm_re          elfin_r_re      elfin_b_tot_nt   field_line_type   fp_north_x_gsm_re   fp_north_y_gsm_re   fp_north_z_gsm_re    fp_north_lat_deg    fp_north_lon_deg     fp_north_alt_km   fp_south_x_gsm_re   fp_south_y_gsm_re   fp_south_z_gsm_re    fp_south_lat_deg    fp_south_lon_deg     fp_south_alt_km   field_line_len_re flux_tube_vol_re_nt        min_b_tot_nt
     igrf      2022-09-04T04:00:00Z      0.740492206202     -0.408356032126      0.613003235532       1.04444067481       49404.3061112      closed_100km      0.713145841894     -0.392169031023      0.606780329418       44.1487276502       89.3063921817       99.9998613274      0.729569164169     -0.372578504410     -0.600967825114      -29.0874821381       93.5290738711       99.9998999661       2.52838334857   0.000217399762594       6589.42458145
     igrf      2022-09-04T04:00:01Z      0.739846499872     -0.408038725028      0.613989489020       1.04443838359       49428.3254701      closed_100km      0.712528105250     -0.391864224218      0.607695982645       44.2129254846       89.2956255164       99.9998613086      0.729047480125     -0.372176472837     -0.601844214888      -29.1492069927       93.5351877286       99.9998996982       2.53830623152   0.000219366967687       6547.70647582
     igrf      2022-09-04T04:00:02Z      0.739199744899     -0.407720807257      0.614974883624       1.04443603299       49452.2839232      closed_100km      0.711909420850     -0.391558864879      0.608610941773       44.2771281205       89.2848448763       99.9998612912      0.728506418753     -0.371762814732     -0.602749024662      -29.2129785405       93.5414845486       99.9998994221       2.54828521980   0.000221355639897       6505.01161236
     igrf      2022-09-04T04:00:03Z      0.738552036182     -0.407402329355      0.615959405551       1.04443370177       49476.1672577      closed_100km      0.711289808965     -0.391252959670      0.609525178492       44.3413336605       89.2740506152       99.9998612751      0.727994109024     -0.371365834671     -0.603607038971      -29.2735070976       93.5475695654       99.9998991605       2.55828109927   0.000223365231443       6463.04502305
     igrf      2022-09-04T04:00:04Z      0.737903299514     -0.407083280082      0.616943141857       1.04443138436       49499.9782449      closed_100km      0.710669203465     -0.390946500584      0.610438773991       44.4055478814       89.2632403715       99.9998612605      0.727466001416     -0.370959335781     -0.604487849586      -29.3356876662       93.5538082916       99.9998988925       2.56833145188   0.000225396894148       6421.79613268
     igrf      2022-09-04T04:00:05Z      0.737253572738     -0.406763682060      0.617926009650       1.04442906746       49523.7169908      closed_100km      0.710047652633     -0.390639516460      0.611351653318       44.4697655746       89.2524142186       99.9998612472      0.726925753349     -0.370545514879     -0.605385593932      -29.3991109786       93.5601684939       99.9998986196       2.57843226950   0.000227450665564       6379.79559143
     igrf      2022-09-04T04:00:06Z      0.736602890744     -0.406443490068      0.618908083378       1.04442680210       49547.3765626      closed_100km      0.709425144150     -0.390331937095      0.612263874644       44.5339910876       89.2415762177       99.9998612354      0.726410744815     -0.370146245882     -0.606242350495      -29.4596929570       93.5663486242       99.9998983596       2.58855460520   0.000229526384973       6338.32048633
     igrf      2022-09-04T04:00:07Z      0.735951161583     -0.406122721469      0.619889219450       1.04442444510       49570.9779185      closed_100km      0.708801717963     -0.390023854761      0.613175332986       44.5982169286       89.2307218796       99.9998612249      0.725877655596     -0.369736162006     -0.607125238071      -29.5221667344       93.5726993930       99.9998980921       2.59873242016   0.000231624760464       6297.56454653
     igrf      2022-09-04T04:00:08Z      0.735298440841     -0.405801370280      0.620869565619       1.04442212095       49594.5029562      closed_100km      0.708177315976     -0.389715197858      0.614086139872       44.6624511833       89.2198534018       99.9998612158      0.725339396355     -0.369322815768     -0.608014202001      -29.5851195403       93.5791170277       99.9998978231       2.60895642857   0.000233746125413       6256.20542599
     igrf      2022-09-04T04:00:09Z      0.734644766356     -0.405479459132      0.621849038994       1.04441981588       49617.9518868      closed_100km      0.707551986899     -0.389405995479      0.614996220434       44.7266886309       89.2089708659       99.9998612082      0.724819798749     -0.368920195346     -0.608872568457      -29.6459586390       93.5854058580       99.9998975638       2.61920744611   0.000235890240962       6215.24710984
     igrf      2022-09-04T04:00:10Z      0.733990075008     -0.405157013358      0.622827723949       1.04441754553       49641.3235392      closed_100km      0.706925656422     -0.389096263403      0.615905649091       44.7909345371       89.1980699521       99.9998612019      0.724282966720     -0.368507276464     -0.609755557888      -29.7085879829       93.5918581352       99.9998972974       2.62951497577   0.000238058120961       6174.99838359
     igrf      2022-09-04T04:00:11Z      0.733334398143     -0.404833931858      0.623805465443       1.04441520029       49664.6337398      closed_100km      0.706298451863     -0.388785963002      0.616814304273       44.8551805804       89.1871586374       99.9998611970      0.723744513605     -0.368093149955     -0.610639154039      -29.7713104500       93.5983501653       99.9998970313       2.63986526604   0.000240249524629       6134.23605012
     igrf      2022-09-04T04:00:12Z      0.732677715499     -0.404510352372      0.624782415799       1.04441291023       49687.8625288      closed_100km      0.705670238431     -0.388475157168      0.617722299575       44.9194346498       89.1762268462       99.9998611935      0.723221532292     -0.367687956458     -0.611497190237      -29.8322712436       93.6047345395       99.9998967733       2.65024668164   0.000242464779330       6093.81054198
     igrf      2022-09-04T04:00:13Z      0.732020056948     -0.404186139872      0.625758498641       1.04441059840       49711.0221078      closed_100km      0.705041112803     -0.388163757533      0.618629579704       44.9836932039       89.1652845742       99.9998611914      0.722682277498     -0.367272925879     -0.612378267552      -29.8949146271       93.6112813959       99.9998965088       2.66068377105   0.000244704531618       6054.09249913
     igrf      2022-09-04T04:00:14Z      0.731361419376     -0.403861415463      0.626733710116       1.04440830715       49734.1041997      closed_100km      0.704411034739     -0.387851857548      0.619536131513       45.0479551559       89.1543237595       99.9998611907      0.722141262717     -0.366856728154     -0.613260079295      -29.9576608552       93.6178622341       99.9998962445       2.67116490497   0.000246968830775       6013.88075212
     igrf      2022-09-04T04:00:15Z      0.730701779141     -0.403536072074      0.627708134228       1.04440602894       49757.1124387      closed_100km      0.703779987995     -0.387539358750      0.620442033930       45.1122264243       89.1433502191       99.9998611914      0.721616123512     -0.366449568533     -0.614115962403      -30.0186149908       93.6243395731       99.9998959884       2.68167789691   0.000249257937405       5974.00595080
     igrf      2022-09-04T04:00:16Z      0.730041139193     -0.403210177598      0.628681613624       1.04440369759       49780.0541371      closed_100km      0.703148034137     -0.387226360889      0.621347155040       45.1764975466       89.1323598517       99.9998611935      0.721075548563     -0.366033187221     -0.614993385524      -30.0811494260       93.6309659462       99.9998957263       2.69224573674   0.000251572297155       5934.83612662
     igrf      2022-09-04T04:00:17Z      0.729379555116     -0.402883726039      0.629654296057       1.04440143847       49802.9109266      closed_100km      0.702515115530     -0.386912792456      0.622251603541       45.2407764676       89.1213548852       99.9998611970      0.720529613850     -0.365613454523     -0.615877014965      -30.1441764419       93.6376607736       99.9998954628       2.70286180265   0.000253912353715       5895.13488523
     igrf      2022-09-04T04:00:18Z      0.728716960243     -0.402556686870      0.630626036414       1.04439910575       49825.7046638      closed_100km      0.701881297048     -0.386598700709      0.623155276896       45.3050559231       89.1103348807       99.9998612019      0.720003453768     -0.365205107623     -0.616728960093      -30.2049976648       93.6442158229       99.9998952092       2.71350613672   0.000256277804257       5855.83324618
     igrf      2022-09-04T04:00:19Z      0.728053384876     -0.402229102000      0.631596983973       1.04439682683       49848.4163198      closed_100km      0.701246495356     -0.386284058887      0.624058284430       45.3693437935       89.0992979436       99.9998612082      0.719462590324     -0.364787948453     -0.617601214508      -30.2673152757       93.6509158065       99.9998949500       2.72420673182   0.000258669773871       5817.22568383
     igrf      2022-09-04T04:00:20Z      0.727388819408     -0.401900968809      0.632567062727       1.04439454814       49871.0532856      closed_100km      0.700610748540     -0.385968892601      0.624960567111       45.4336359392       89.0882439207       99.9998612159      0.718909263688     -0.364363330929     -0.618490254641      -30.3308816369       93.6577403006       99.9998946863       2.73496110406   0.000261088401636       5778.00135837
     igrf      2022-09-04T04:00:21Z      0.726723252754     -0.401572250741      0.633536275333       1.04439224950       49893.6191537      closed_100km      0.699974063600     -0.385653177425      0.625862131596       45.4979329928       89.0771746838       99.9998612250      0.718382994178     -0.363954351546     -0.619336903213      -30.3914730908       93.6643649983       99.9998944356       2.74573971397   0.000263533477206       5739.28301432
     igrf      2022-09-04T04:00:22Z      0.726056732364     -0.401242973084      0.634504614891       1.04438996949       49916.1068622      closed_100km      0.699336452145     -0.385336917479      0.626762961938       45.5622339096       89.0660903837       99.9998612355      0.717842834850     -0.363537025906     -0.620202525690      -30.4534689977       93.6711292517       99.9998941797       2.75657389684   0.000266005900538       5701.25553525
     igrf      2022-09-04T04:00:23Z      0.725389247156     -0.400913099284      0.635472084057       1.04438768792       49938.5200096      closed_100km      0.698697921205     -0.385020088353      0.627663064771       45.6265393208       89.0549929033       99.9998612474      0.717289324076     -0.363111662279     -0.621086192538      -30.5168063908       93.6780296071       99.9998939190       2.76746326494   0.000268506023147       5662.47582269
     igrf      2022-09-04T04:00:24Z      0.724720735482     -0.400582688603      0.636438688545       1.04438538822       49960.8609898      closed_100km      0.698058426360     -0.384702755167      0.628562449013       45.6908497720       89.0438758165       99.9998612607      0.716754155123     -0.362696905590     -0.621940661318      -30.5781061408       93.6847975769       99.9998936674       2.77838428532   0.000271033769454       5624.35824168
     igrf      2022-09-04T04:00:25Z      0.724051270073     -0.400251718421      0.637404419927       1.04438310707       49983.1233547      closed_100km      0.697418005078     -0.384384877347      0.629461097432       45.7551642494       89.0327434241       99.9998612754      0.716215569123     -0.362279937709     -0.622798407724      -30.6396904059       93.6916185694       99.9998934153       2.78935370253   0.000273589772310       5586.75170590
     igrf      2022-09-04T04:00:26Z      0.723380850931     -0.399920188765      0.638369278183       1.04438084443       50005.3069589      closed_100km      0.696776657454     -0.384066454972      0.630359009401       45.8194828020       89.0215956467       99.9998612915      0.715664330159     -0.361855377532     -0.623673043909      -30.7025362768       93.6985683145       99.9998931587       2.80037843697   0.000276174519726       5548.56079644
     igrf      2022-09-04T04:00:27Z      0.722709430606     -0.399588074406      0.639333270172       1.04437856194       50027.4185212      closed_100km      0.696134371461     -0.383747483764      0.631256200198       45.8838066219       89.0104321689       99.9998613089      0.715115919320     -0.361432292618     -0.624541613692      -30.7649991760       93.7055177107       99.9998929044       2.81144722782   0.000278788201534       5511.05782130
     igrf      2022-09-04T04:00:28Z      0.722037020183     -0.399255411957      0.640296393202       1.04437627972       50049.4541461      closed_100km      0.695491140221     -0.383427988273      0.632152661958       45.9481351773       88.9992509373       99.9998613278      0.714579685441     -0.361016154023     -0.625390395114      -30.8260924090       93.7123885599       99.9998926564       2.82255364412   0.000281431048635       5473.81361441
     igrf      2022-09-04T04:00:29Z      0.721363656027     -0.398922190122      0.641258643048       1.04437401600       50071.4105526      closed_100km      0.694846982654     -0.383107948327      0.633048385622       46.0124679754       88.9880540721       99.9998613481      0.714031469724     -0.360592818454     -0.626254991123      -30.8883725091       93.7193830240       99.9998924043       2.83371566635   0.000284103754286       5436.25667975
     igrf      2022-09-04T04:00:30Z      0.720689338140     -0.398588408930      0.642220019690       1.04437177075       50093.2875948      closed_100km      0.694201898832     -0.382787363992      0.633943370577       46.0768050667       88.9768414921       99.9998613698      0.713471753338     -0.360162589322     -0.627134573040      -30.9517829434       93.7264963089       99.9998921483       2.84493294457   0.000286806689589       5399.38107669
     igrf      2022-09-04T04:00:31Z      0.720014009462     -0.398254040514      0.643180453999       1.04436945140       50115.0997526      closed_100km      0.693555914487     -0.382466256510      0.634837575692       46.1411435513       88.9656128013       99.9998613929      0.712933843617     -0.359744927031     -0.627980367122      -31.0128137651       93.7334510565       99.9998919026       2.85618090784   0.000289539656241       5362.47890072
     igrf      2022-09-04T04:00:32Z      0.719337711381     -0.397919163344      0.644140092588       1.04436720671       50136.8238613      closed_100km      0.692908940123     -0.382144623797      0.635731098885       46.2054905141       88.9543641073       99.9998614173      0.712389293444     -0.359323239784     -0.628834051458      -31.0744634279       93.7404824300       99.9998916552       2.86748206049   0.000292303756319       5325.56796804
     igrf      2022-09-04T04:00:33Z      0.718660438877     -0.397583687685      0.645098784598       1.04436490606       50158.4796901      closed_100km      0.692261084155     -0.381822447808      0.636623832877       46.2698384447       88.9431013440       99.9998614432      0.711833899981     -0.358895025172     -0.629701709084      -31.1371723520       93.7476287578       99.9998914043       2.87883823275   0.000295099112395       5289.33276875
     igrf      2022-09-04T04:00:34Z      0.717982222252     -0.397247655422      0.646056679316       1.04436267843       50180.0477415      closed_100km      0.691612263851     -0.381499701843      0.637515882519       46.3341950049       88.9318226026       99.9998614705      0.711276282799     -0.358465332674     -0.630570722679      -31.2000322817       93.7548174826       99.9998911535       2.89024457135   0.000297926341843       5252.74792587
     igrf      2022-09-04T04:00:35Z      0.717303005922     -0.396911072636      0.647013628951       1.04436039658       50201.5466323      closed_100km      0.690962536234     -0.381176457445      0.638407143179       46.3985526067       88.9205254205       99.9998614992      0.710736014458     -0.358045620094     -0.631412720884      -31.2609933628       93.7618830468       99.9998909110       2.90168616340   0.000300785264585       5216.49605374
     igrf      2022-09-04T04:00:36Z      0.716622835863     -0.396573930670      0.647969705267       1.04435813317       50222.9652851      closed_100km      0.690311882373     -0.380852668851      0.639297662033       46.4629148470       88.9092120099       99.9998615292      0.710185445488     -0.357619714247     -0.632267841883      -31.3229539712       93.7690585016       99.9998906652       2.91318384645   0.000303676831146       5180.88283176
     igrf      2022-09-04T04:00:37Z      0.715941712076     -0.396236229551      0.648924908244       1.04435588821       50244.3035532      closed_100km      0.689660302305     -0.380528336107      0.640187438484       46.5272817787       88.8978822857       99.9998615607      0.709625013768     -0.357187889295     -0.633135351629      -31.3858636174       93.7763395501       99.9998904165       2.92473737772   0.000306601456019       5144.62932997
     igrf      2022-09-04T04:00:38Z      0.715259588586     -0.395897978002      0.649879166080       1.04435358886       50265.5722846      closed_100km      0.689007814827     -0.380203505002      0.641076424967       46.5916499528       88.8865338487       99.9998615935      0.709069549731     -0.356758846454     -0.633993807553      -31.4481712914       93.7835993052       99.9998901709       2.93633573156   0.000309559208640       5109.04632475
