    model            time_utc      elfin_x_gsm_re      elfin_y_gsm_re      elfin_z_gsm_re          elfin_r_re      elfin_b_tot_nt   field_line_type   fp_north_x_gsm_re   fp_north_y_gsm_re   fp_north_z_gsm_re    fp_north_lat_deg    fp_north_lon_deg     fp_north_alt_km   fp_south_x_gsm_re   fp_south_y_gsm_re   fp_south_z_gsm_re    fp_south_lat_deg    fp_south_lon_deg     fp_south_alt_km   field_line_len_re flux_tube_vol_re_nt        min_b_tot_nt
t89_kp_6-   2022-09-04T04:00:00Z      0.740492206202     -0.408356032126      0.613003235532       1.04444067481       49425.7238833      closed_100km      0.713191082196     -0.392193268700      0.606711959727       44.1439071615       89.3067150818       99.9998613289      0.729829728097     -0.372547282047     -0.600672489427      -29.0664757848       93.5377909805       99.9999000574       2.54911074017   0.000224830123624       6340.82140845
t89_kp_6-   2022-09-04T04:00:01Z      0.739846499872     -0.408038725028      0.613989489020       1.04443838359       49450.0477510      closed_100km      0.712573329172     -0.391888458237      0.607627794876       44.2081138077       89.2959484825       99.9998613099      0.729315189924     -0.372148091643     -0.601539154375      -29.1274990993       93.5439302400       99.9998997924       2.55925082062   0.000226918315392       6298.42730402
t89_kp_6-   2022-09-04T04:00:02Z      0.739199744899     -0.407720807257      0.614974883624       1.04443603299       49474.3103301      closed_100km      0.711954628228     -0.391583095152      0.608542935605       44.2723252408       89.2851679095       99.9998612924      0.728793405125     -0.371744374995     -0.602415361699      -29.1892399420       93.5501549093       99.9998995248       2.56943994348   0.000229029954247       6256.78133298
t89_kp_6-   2022-09-04T04:00:03Z      0.738552036182     -0.407402329355      0.615959405551       1.04443370177       49498.4973869      closed_100km      0.711334999758     -0.391277186175      0.609457353416       44.3365395505       89.2743737175       99.9998612763      0.728254224148     -0.371330182662     -0.603316862183      -29.2528085285       93.5565476590       99.9998992499       2.57968589446   0.000231165429145       6214.29543695
t89_kp_6-   2022-09-04T04:00:04Z      0.737903299514     -0.407083280082      0.616943141857       1.04443138436       49522.6117207      closed_100km      0.710714377621     -0.390970723294      0.610371129529       44.4007625152       89.2635635447       99.9998612615      0.727740781111     -0.370930925037     -0.604176320138      -29.3134669886       93.5627512381       99.9998989882       2.58995495391   0.000233324573749       6172.42166248
t89_kp_6-   2022-09-04T04:00:05Z      0.737253572738     -0.406763682060      0.617926009650       1.04442906746       49546.6534146      closed_100km      0.710092810079     -0.390663735337      0.611284189010       44.4649889281       89.2527374645       99.9998612482      0.727215314192     -0.370524370824     -0.605052668188      -29.3753622685       93.5690777526       99.9998987217       2.60027735888   0.000235508122446       6131.29280677
t89_kp_6-   2022-09-04T04:00:06Z      0.736602890744     -0.406443490068      0.618908083378       1.04442680210       49570.6155476      closed_100km      0.709470284895     -0.390356152141      0.612196589929       44.5292231289       89.2418995387       99.9998612362      0.726673345787     -0.370107834222     -0.605952756163      -29.4389804905       93.5755677892       99.9998984485       2.61065720970   0.000237716595275       6089.40912525
t89_kp_6-   2022-09-04T04:00:07Z      0.735951161583     -0.406122721469      0.619889219450       1.04442444510       49594.5190639      closed_100km      0.708846841792     -0.390048065863      0.613108227614       44.5934576486       89.2310452763       99.9998612256      0.726158722255     -0.369707199299     -0.606808580055      -29.4995251559       93.5818534080       99.9998981890       2.62105861394   0.000239949391500       6048.07984603
t89_kp_6-   2022-09-04T04:00:08Z      0.735298440841     -0.405801370280      0.620869565619       1.04442212095       49618.3458803      closed_100km      0.708222422866     -0.389739405002      0.614019213331       44.6577005536       89.2201768764       99.9998612165      0.725630839600     -0.369298504802     -0.607683108777      -29.5614377871       93.5882750035       99.9998979242       2.63151575933   0.000242207744698       6007.48787040
t89_kp_6-   2022-09-04T04:00:09Z      0.734644766356     -0.405479459132      0.621849038994       1.04441981588       49642.0961852      closed_100km      0.707597076807     -0.389430198643      0.614929472230       44.7219466249       89.2092944202       99.9998612087      0.725087352570     -0.368880414286     -0.608579794127      -29.6249658637       93.5948500535       99.9998976532       2.64202954379   0.000244491831243       5966.16490177
t89_kp_6-   2022-09-04T04:00:10Z      0.733990075008     -0.405157013358      0.622827723949       1.04441754553       49665.7688301      closed_100km      0.706970729327     -0.389120462579      0.615839078712       44.7862011263       89.1983935883       99.9998612023      0.724569074685     -0.368476968037     -0.609435794440      -29.6856663673       93.6012377535       99.9998973948       2.65256884880   0.000246801563701       5925.39465351
t89_kp_6-   2022-09-04T04:00:11Z      0.733334398143     -0.404833931858      0.623805465443       1.04441520029       49689.3796164      closed_100km      0.706343507578     -0.388810158084      0.616747911438       44.8504557534       89.1874823565       99.9998611973      0.724039974771     -0.368066868545     -0.610306640548      -29.7474652412       93.6077435052       99.9998971324       2.66316133952   0.000249137530326       5885.36210865
t89_kp_6-   2022-09-04T04:00:12Z      0.732677715499     -0.404510352372      0.624782415799       1.04441291023       49712.9086041      closed_100km      0.705715276965     -0.388499348167      0.617656083729       44.9147183751       89.1765506505       99.9998611937      0.723496031465     -0.367647913494     -0.611198276679      -29.8107867586       93.6143916575       99.9998968642       2.67381130892   0.000251500424687       5844.55433342
t89_kp_6-   2022-09-04T04:00:13Z      0.732020056948     -0.404186139872      0.625758498641       1.04441059840       49736.3679869      closed_100km      0.705086134050     -0.388187944389      0.618563540459       44.9789854623       89.1656084652       99.9998611915      0.722971693080     -0.367240192325     -0.612058124309      -29.8719046942       93.6209053046       99.9998966059       2.68449152874   0.000253889945943       5804.36688185
t89_kp_6-   2022-09-04T04:00:14Z      0.731361419376     -0.403861415463      0.626733710116       1.04440830715       49759.7494780      closed_100km      0.704456038656     -0.387876040241      0.619470268387       45.0432559211       89.1546477392       99.9998611907      0.722442373862     -0.366829373463     -0.612923726128      -29.9334792730       93.6274817799       99.9998963463       2.69522159231   0.000256306795734       5764.89839269
t89_kp_6-   2022-09-04T04:00:15Z      0.730701779141     -0.403536072074      0.627708134228       1.04440602894       49783.0567385      closed_100km      0.703824974528     -0.387563537248      0.620376346472       45.1075356724       89.1436742894       99.9998611913      0.721899050656     -0.366410068654     -0.613808785910      -29.9964852152       93.6342017337       99.9998960813       2.70600944251   0.000258751680702       5724.57831887
t89_kp_6-   2022-09-04T04:00:16Z      0.730041139193     -0.403210177598      0.628681613624       1.04440369759       49806.2970465      closed_100km      0.703193003130     -0.387250535111      0.621281642930       45.1718152631       89.1326840137       99.9998611933      0.721366008780     -0.365996639283     -0.614676334175      -30.0582973411       93.6408574102       99.9998958220       2.71683490515   0.000261224253834       5684.99139033
t89_kp_6-   2022-09-04T04:00:17Z      0.729379555116     -0.402883726039      0.629654296057       1.04440143847       49829.4520523      closed_100km      0.702560067021     -0.386936962421      0.622186266195       45.2361026190       89.1216791415       99.9998611967      0.720837474423     -0.365585607967     -0.615535258282      -30.1195451798       93.6475018345       99.9998955657       2.72770437952   0.000263725286421       5645.94101475
t89_kp_6-   2022-09-04T04:00:18Z      0.728716960243     -0.402556686870      0.630626036414       1.04439910575       49852.5435991      closed_100km      0.701926230848     -0.386622866317      0.623090114045       45.3003904987       89.1106592323       99.9998612015      0.720295748767     -0.365166635508     -0.616412259543      -30.1821293125       93.6542796370       99.9998953045       2.73863035971   0.000266255131112       5606.24226522
t89_kp_6-   2022-09-04T04:00:19Z      0.728053384876     -0.402229102000      0.631596983973       1.04439682683       49875.5526764      closed_100km      0.701291411473     -0.386308220143      0.623993295539       45.3646867630       89.0996223927       99.9998612077      0.719751270553     -0.364745867924     -0.617291501035      -30.2449242040       93.6611030346       99.9998950430       2.74960618386   0.000268814326203       5567.27001837
t89_kp_6-   2022-09-04T04:00:20Z      0.727388819408     -0.401900968809      0.632567062727       1.04439454814       49898.4866633      closed_100km      0.700655646899     -0.385993049467      0.624895751758       45.4289872806       89.0885684692       99.9998612153      0.719224401917     -0.364335236972     -0.618142421066      -30.3057500581       93.6678029724       99.9998947905       2.76061625884   0.000271402814726       5528.60430459
t89_kp_6-   2022-09-04T04:00:21Z      0.726723252754     -0.401572250741      0.633536275333       1.04439224950       49921.3491574      closed_100km      0.700018944095     -0.385677329843      0.625797489406       45.4932926876       89.0774993332       99.9998612243      0.718685031342     -0.363917058632     -0.619010291830      -30.3678345783       93.6746318138       99.9998945333       2.77168384963   0.000274021453964       5489.54192481
t89_kp_6-   2022-09-04T04:00:22Z      0.726056732364     -0.401242973084      0.634504614891       1.04438996949       49944.1330862      closed_100km      0.699381314731     -0.385361065426      0.626698492451       45.5576019332       89.0664151360       99.9998612347      0.718133674600     -0.363491657712     -0.619894211008      -30.4311164969       93.6815844661       99.9998942719       2.78280839501   0.000276670591049       5451.20226334
t89_kp_6-   2022-09-04T04:00:23Z      0.725389247156     -0.400913099284      0.635472084057       1.04438768792       49966.8420534      closed_100km      0.698742765804     -0.385044231785      0.627598767576       45.6219156519       89.0553177601       99.9998612465      0.717601921086     -0.363077507226     -0.620747023944      -30.4922262904       93.6883999469       99.9998940201       2.79396654763   0.000279350206942       5412.89379549
t89_kp_6-   2022-09-04T04:00:24Z      0.724720735482     -0.400582688603      0.636438688545       1.04438538822       49989.4784583      closed_100km      0.698103252867     -0.384726894032      0.628498323738       45.6862343922       89.0442007796       99.9998612597      0.717065694506     -0.362660582293     -0.621604675646      -30.5537316926       93.6952739278       99.9998937674       2.80517703609   0.000282061100097       5374.48529062
t89_kp_6-   2022-09-04T04:00:25Z      0.724051270073     -0.400251718421      0.637404419927       1.04438310707       50012.0358420      closed_100km      0.697462813447     -0.384409011619      0.629397143622       45.7505571344       89.0330684953       99.9998612743      0.716518147390     -0.362236826096     -0.622477310997      -30.6163604422       93.7022666530       99.9998935107       2.81644488807   0.000284803738302       5336.79238146
t89_kp_6-   2022-09-04T04:00:26Z      0.723380850931     -0.399920188765      0.638369278183       1.04438084443       50034.5140595      closed_100km      0.696821447637     -0.384090584627      0.630295226607       45.8148839277       89.0219208280       99.9998612903      0.715968494359     -0.361811649905     -0.623351180677      -30.6791296419       93.7093006327       99.9998932542       2.82776334939   0.000287578416828       5298.81680482
t89_kp_6-   2022-09-04T04:00:27Z      0.722709430606     -0.399588074406      0.639333270172       1.04437856194       50056.9198394      closed_100km      0.696179143353     -0.383771608744      0.631192588058       45.8792159705       89.0107574619       99.9998613076      0.715436069746     -0.361396347142     -0.624197743890      -30.7399916373       93.7162157044       99.9998930062       2.83911885459   0.000290385357481       5261.07597833
t89_kp_6-   2022-09-04T04:00:28Z      0.722037020183     -0.399255411957      0.640296393202       1.04437627972       50079.2492814      closed_100km      0.695535893745     -0.383452108541      0.632089220066       45.9435527279       88.9995763438       99.9998613264      0.714892935028     -0.360974603630     -0.625058306411      -30.8019082952       93.7232429664       99.9998927545       2.85053230134   0.000293225377211       5224.04290570
t89_kp_6-   2022-09-04T04:00:29Z      0.721363656027     -0.398922190122      0.641258643048       1.04437401600       50101.4990991      closed_100km      0.694891717763     -0.383132063856      0.632985113534       46.0078937043       88.9883795941       99.9998613466      0.714339567653     -0.360546685010     -0.625932075943      -30.8648253563       93.7303797377       99.9998924995       2.86200333218   0.000296098889354       5186.37827107
t89_kp_6-   2022-09-04T04:00:30Z      0.720689338140     -0.398588408930      0.642220019690       1.04437177075       50123.6691466      closed_100km      0.694246615478     -0.382811474757      0.633880267851       46.0722389504       88.9771671315       99.9998613682      0.713794159090     -0.360123236429     -0.626792285822      -30.9268198597       93.7374737707       99.9998922490       2.87351883997   0.000299006096964       5149.31779085
t89_kp_6-   2022-09-04T04:00:31Z      0.720014009462     -0.398254040514      0.643180453999       1.04436945140       50145.7739027      closed_100km      0.693600612481     -0.382490362410      0.634774642081       46.1365855804       88.9659385590       99.9998613912      0.713255987617     -0.359703826838     -0.627640082404      -30.9879720811       93.7445313971       99.9998920026       2.88507944734   0.000301947348386       5112.65981587
