date/time,PINALat,GILLlat,ClosestStation,Elevation [deg],ELFINeflux [erg/cm^2/s],ELFINenergy [keV]
2022-09-04/04:17:00,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:01,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:02,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:03,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:04,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:05,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:06,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:07,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:08,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:09,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:10,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:11,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:12,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:13,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:14,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:15,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:16,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:17,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:18,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:19,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:20,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:21,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:22,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:23,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:24,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:25,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:26,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:27,61.1741,67.0371,pina,NaN,-1,-1
2022-09-04/04:17:28,61.1741,66.8476,pina,NaN,-1,-1
2022-09-04/04:17:29,61.1741,66.8476,pina,NaN,-1,-1
2022-09-04/04:17:30,61.1741,66.6536,pina,NaN,-1,-1
2022-09-04/04:17:31,61.1741,66.6536,pina,NaN,-1,-1
2022-09-04/04:17:32,61.1741,66.6536,pina,NaN,-1,-1
2022-09-04/04:17:33,61.1741,66.6536,pina,NaN,-1,-1
2022-09-04/04:17:34,61.1741,66.6536,pina,NaN,-1,-1
2022-09-04/04:17:35,61.1741,66.3098,pina,NaN,-1,-1
2022-09-04/04:17:36,61.1741,66.3098,pina,NaN,-1,-1
2022-09-04/04:17:37,61.1741,66.3098,pina,NaN,-1,-1
2022-09-04/04:17:38,61.1741,66.3098,pina,NaN,-1,-1
2022-09-04/04:17:39,61.1741,66.3098,pina,NaN,-1,-1
2022-09-04/04:17:40,61.1741,66.1187,pina,NaN,-1,-1
2022-09-04/04:17:41,61.1741,66.1187,pina,NaN,-1,-1
2022-09-04/04:17:42,61.1741,66.1187,pina,NaN,-1,-1
2022-09-04/04:17:43,61.1741,65.8075,pina,NaN,-1,-1
2022-09-04/04:17:44,61.1741,65.8075,pina,NaN,-1,-1
2022-09-04/04:17:45,61.1741,65.8075,pina,NaN,-1,-1
2022-09-04/04:17:46,61.1741,65.8075,pina,NaN,-1,-1
2022-09-04/04:17:47,61.1741,65.8075,pina,NaN,-1,-1
2022-09-04/04:17:48,61.1741,65.5307,pina,NaN,-1,-1
2022-09-04/04:17:49,61.1741,65.5307,pina,NaN,-1,-1
2022-09-04/04:17:50,61.1741,65.5307,pina,NaN,-1,-1
2022-09-04/04:17:51,61.1741,65.3391,pina,NaN,-1,-1
2022-09-04/04:17:52,61.1741,65.3391,pina,NaN,-1,-1
2022-09-04/04:17:53,61.1741,65.3391,pina,NaN,-1,-1
2022-09-04/04:17:54,61.1741,65.3391,pina,NaN,-1,-1
2022-09-04/04:17:55,61.1741,65.0902,pina,NaN,-1,-1
2022-09-04/04:17:56,61.1741,65.0902,pina,NaN,-1,-1
2022-09-04/04:17:57,61.1741,65.0902,pina,NaN,-1,-1
2022-09-04/04:17:58,61.1741,65.0902,pina,NaN,-1,-1
2022-09-04/04:17:59,61.1741,64.8709,pina,NaN,-1,-1
2022-09-04/04:18:00,61.1741,64.8709,pina,NaN,-1,-1
2022-09-04/04:18:01,61.1741,64.6798,pina,NaN,-1,-1
2022-09-04/04:18:02,61.1741,64.6798,pina,NaN,-1,-1
2022-09-04/04:18:03,61.1741,64.6798,pina,NaN,-1,-1
2022-09-04/04:18:04,61.1741,64.4842,pina,NaN,-1,-1
2022-09-04/04:18:05,61.1741,64.4842,pina,NaN,-1,-1
2022-09-04/04:18:06,61.1741,64.4842,pina,NaN,-1,-1
2022-09-04/04:18:07,61.1741,64.4842,pina,NaN,-1,-1
2022-09-04/04:18:08,61.1741,64.2977,pina,NaN,-1,-1
2022-09-04/04:18:09,61.1741,64.2977,pina,NaN,-1,-1
2022-09-04/04:18:10,61.1741,64.1239,pina,NaN,-1,-1
2022-09-04/04:18:11,61.1741,64.1239,pina,NaN,-1,-1
2022-09-04/04:18:12,61.1741,64.1239,pina,NaN,-1,-1
2022-09-04/04:18:13,61.0504,63.9736,pina,NaN,-1,-1
2022-09-04/04:18:14,61.0504,63.9736,pina,NaN,-1,-1
2022-09-04/04:18:15,61.0504,63.7884,pina,NaN,-1,-1
2022-09-04/04:18:16,61.0504,63.7884,pina,NaN,-1,-1
2022-09-04/04:18:17,61.0504,63.7884,pina,NaN,-1,-1
2022-09-04/04:18:18,61.0504,63.6565,pina,NaN,-1,-1
2022-09-04/04:18:19,61.0504,63.6565,pina,NaN,-1,-1
2022-09-04/04:18:20,61.0504,63.4761,pina,NaN,-1,-1
2022-09-04/04:18:21,61.0504,63.4761,pina,NaN,-1,-1
2022-09-04/04:18:22,61.0504,63.3609,pina,NaN,-1,-1
2022-09-04/04:18:23,61.0504,63.3609,pina,NaN,-1,-1
2022-09-04/04:18:24,61.0504,63.3609,pina,NaN,-1,-1
2022-09-04/04:18:25,61.0504,63.0854,pina,NaN,-1,-1
2022-09-04/04:18:26,61.0504,63.0854,pina,NaN,-1,-1
2022-09-04/04:18:27,61.0504,63.0854,pina,NaN,-1,-1
2022-09-04/04:18:28,61.0504,63.0854,pina,NaN,-1,-1
2022-09-04/04:18:29,61.0504,63.0032,pina,NaN,-1,-1
2022-09-04/04:18:30,61.0504,62.8285,pina,NaN,-1,-1
2022-09-04/04:18:31,61.0504,62.8285,pina,NaN,-1,-1
2022-09-04/04:18:32,61.0504,62.759,pina,NaN,-1,-1
2022-09-04/04:18:33,61.0504,62.759,pina,NaN,-1,-1
2022-09-04/04:18:34,61.0504,62.5311,pina,NaN,-1,-1
2022-09-04/04:18:35,61.0504,62.5311,pina,NaN,-1,-1
2022-09-04/04:18:36,61.0504,62.5311,pina,NaN,-1,-1
2022-09-04/04:18:37,61.0504,62.3182,pina,NaN,-1,-1
2022-09-04/04:18:38,61.0504,62.3182,pina,NaN,-1,-1
2022-09-04/04:18:39,61.0504,62.3182,pina,NaN,-1,-1
2022-09-04/04:18:40,61.0504,62.3182,pina,NaN,-1,-1
2022-09-04/04:18:41,61.0504,62.1192,pina,NaN,-1,-1
2022-09-04/04:18:42,61.0504,62.1192,pina,NaN,-1,-1
2022-09-04/04:18:43,61.0504,62.1192,pina,NaN,-1,-1
2022-09-04/04:18:44,61.0504,61.933,pina,NaN,-1,-1
2022-09-04/04:18:45,61.0504,61.933,pina,NaN,-1,-1
2022-09-04/04:18:46,60.7201,61.933,pina,NaN,-1,-1
2022-09-04/04:18:47,60.7201,61.7588,pina,NaN,-1,-1
2022-09-04/04:18:48,60.5583,61.7588,pina,NaN,-1,-1
2022-09-04/04:18:49,60.5583,61.5956,pina,NaN,-1,-1
2022-09-04/04:18:50,60.5583,61.5956,pina,NaN,-1,-1
2022-09-04/04:18:51,60.5583,61.5956,pina,NaN,-1,-1
2022-09-04/04:18:52,60.5583,61.4427,pina,NaN,-1,-1
2022-09-04/04:18:53,60.5583,61.4427,pina,NaN,0.0442472,0.756
2022-09-04/04:18:54,60.5583,61.3095,pina,NaN,0.0442472,0.756
2022-09-04/04:18:55,60.5583,61.2992,pina,NaN,0.0442472,0.756
2022-09-04/04:18:56,60.5583,61.1801,gill,5.85122,-1,-1
2022-09-04/04:18:57,60.5583,61.1646,gill,6.1124,-1,-1
2022-09-04/04:18:58,60.5583,61.0585,gill,6.03212,-1,-1
