Date_UTC,SML,SMU,SMR,SMR00,SMR06,SMR12,SMR18,GSM_Bx,GSM_By,GSM_Bz,GSE_Vx,GSE_Vy,GSM_Vz
2022-09-03 16:00:00,-180,202,-19.0,-24.1,-2.8,-21.0,-27.9,999999,999999,999999,999999,999999,999999
2022-09-03 16:01:00,-165,196,-19.0,-24.2,-2.6,-21.4,-27.8,999999,999999,999999,999999,999999,999999
2022-09-03 16:02:00,-163,207,-18.7,-23.7,-3.1,-21.3,-26.8,999999,999999,999999,999999,999999,999999
2022-09-03 16:03:00,-166,220,-18.6,-23.2,-4.1,-20.8,-26.5,999999,999999,999999,999999,999999,999999
2022-09-03 16:04:00,-172,223,-17.8,-21.6,-4.6,-19.4,-25.5,999999,999999,999999,999999,999999,999999
2022-09-03 16:05:00,-165,208,-17.3,-20.2,-4.8,-18.6,-25.6,999999,999999,999999,999999,999999,999999
2022-09-03 16:06:00,-168,175,-17.1,-18.8,-5.2,-19.0,-25.5,999999,999999,999999,999999,999999,999999
2022-09-03 16:07:00,-143,147,-17.2,-18.2,-4.7,-19.9,-25.9,999999,999999,999999,999999,999999,999999
2022-09-03 16:08:00,-115,138,-17.4,-17.5,-4.6,-21.4,-26.1,999999,999999,999999,999999,999999,999999
2022-09-03 16:09:00,-93,132,-17.9,-17.3,-5.4,-22.7,-26.0,999999,999999,999999,999999,999999,999999
2022-09-03 16:10:00,-88,126,-17.8,-16.3,-5.3,-23.6,-26.2,999999,999999,999999,999999,999999,999999
2022-09-03 16:11:00,-144,133,-17.7,-16.3,-4.3,-23.8,-26.6,999999,999999,999999,999999,999999,999999
2022-09-03 16:12:00,-165,145,-17.9,-15.4,-4.5,-24.4,-27.4,999999,999999,999999,999999,999999,999999
2022-09-03 16:13:00,-108,169,-17.9,-14.7,-5.3,-24.6,-27.0,999999,999999,999999,999999,999999,999999
2022-09-03 16:14:00,-88,186,-17.4,-13.8,-5.1,-23.9,-26.7,999999,999999,999999,999999,999999,999999
2022-09-03 16:15:00,-93,194,-16.7,-13.4,-4.2,-22.5,-26.7,999999,999999,999999,999999,999999,999999
2022-09-03 16:16:00,-70,197,-16.6,-12.7,-4.5,-22.2,-26.9,999999,999999,999999,999999,999999,999999
2022-09-03 16:17:00,-47,192,-16.8,-12.1,-5.1,-23.2,-26.7,999999,999999,999999,999999,999999,999999
2022-09-03 16:18:00,-47,185,-16.7,-11.6,-4.7,-23.5,-26.7,999999,999999,999999,999999,999999,999999
2022-09-03 16:19:00,-54,175,-16.6,-11.3,-4.6,-23.5,-26.9,999999,999999,999999,999999,999999,999999
2022-09-03 16:20:00,-57,177,-16.5,-11.6,-4.5,-23.1,-26.9,999999,999999,999999,999999,999999,999999
2022-09-03 16:21:00,-50,182,-16.5,-11.5,-4.6,-23.0,-26.9,999999,999999,999999,999999,999999,999999
2022-09-03 16:22:00,-44,187,-16.3,-11.1,-4.7,-22.7,-26.7,999999,999999,999999,999999,999999,999999
2022-09-03 16:23:00,-43,177,-16.0,-10.7,-5.1,-22.0,-26.0,999999,999999,999999,999999,999999,999999
2022-09-03 16:24:00,-46,191,-15.7,-10.2,-5.9,-21.2,-25.3,999999,999999,999999,999999,999999,999999
2022-09-03 16:25:00,-53,178,-15.6,-9.7,-5.8,-21.2,-25.8,999999,999999,999999,999999,999999,999999
2022-09-03 16:26:00,-55,159,-15.5,-9.4,-4.9,-21.5,-26.2,999999,999999,999999,999999,999999,999999
2022-09-03 16:27:00,-52,152,-15.6,-9.4,-4.8,-21.9,-26.2,999999,999999,999999,999999,999999,999999
2022-09-03 16:28:00,-50,138,-15.9,-8.9,-5.7,-23.1,-25.8,999999,999999,999999,999999,999999,999999
2022-09-03 16:29:00,-53,122,-16.0,-9.4,-5.7,-23.6,-25.3,999999,999999,999999,999999,999999,999999
2022-09-03 16:30:00,-66,112,-15.9,-9.5,-6.8,-22.1,-25.3,999999,999999,999999,999999,999999,999999
2022-09-03 16:31:00,-65,121,-16.1,-9.8,-7.1,-22.4,-25.2,999999,999999,999999,999999,999999,999999
2022-09-03 16:32:00,-66,126,-16.4,-10.1,-7.6,-22.6,-25.1,999999,999999,999999,999999,999999,999999
2022-09-03 16:33:00,-57,126,-16.8,-10.2,-8.2,-23.1,-25.6,999999,999999,999999,999999,999999,999999
2022-09-03 16:34:00,-59,122,-16.7,-10.2,-8.1,-23.1,-25.4,999999,999999,999999,999999,999999,999999
2022-09-03 16:35:00,-63,121,-16.8,-10.4,-7.9,-23.3,-25.7,999999,999999,999999,999999,999999,999999
2022-09-03 16:36:00,-68,134,-17.8,-10.2,-14.5,-20.7,-25.8,999999,999999,999999,999999,999999,999999
2022-09-03 16:37:00,-62,127,-18.0,-10.1,-14.9,-21.2,-25.8,999999,999999,999999,999999,999999,999999
2022-09-03 16:38:00,-49,111,-18.1,-9.9,-14.8,-21.4,-26.1,999999,999999,999999,999999,999999,999999
2022-09-03 16:39:00,-50,89,-17.7,-9.6,-14.4,-21.0,-26.0,999999,999999,999999,999999,999999,999999
2022-09-03 16:40:00,-51,87,-17.4,-9.0,-14.2,-20.4,-26.1,999999,999999,999999,999999,999999,999999
2022-09-03 16:41:00,-57,92,-17.4,-8.5,-14.5,-20.9,-25.8,999999,999999,999999,999999,999999,999999
2022-09-03 16:42:00,-61,88,-17.3,-8.0,-14.2,-21.2,-25.9,999999,999999,999999,999999,999999,999999
2022-09-03 16:43:00,-52,82,-16.8,-7.5,-13.7,-20.7,-25.3,999999,999999,999999,999999,999999,999999
2022-09-03 16:44:00,-51,96,-15.9,-7.3,-11.4,-19.8,-24.9,-6.47,3.40,-2.46,-525.20,-5.96,7.02
2022-09-03 16:45:00,-50,117,-15.4,-6.7,-11.3,-19.6,-24.2,-6.32,3.51,-2.56,-525.20,-5.97,7.02
2022-09-03 16:46:00,-53,134,-15.1,-6.3,-11.4,-19.1,-23.6,-6.16,3.69,-2.77,-527.80,8.03,8.69
2022-09-03 16:47:00,-62,131,-14.2,-6.6,-8.5,-18.2,-23.4,-6.33,3.55,-2.80,-527.90,10.09,8.71
2022-09-03 16:48:00,-64,126,-13.4,-6.5,-8.4,-16.4,-22.5,-6.23,3.63,-2.84,-526.50,27.15,5.79
2022-09-03 16:49:00,-60,115,-12.9,-6.4,-8.4,-15.0,-21.6,-6.11,3.99,-3.02,-528.30,10.28,8.96
2022-09-03 16:50:00,-46,113,-12.4,-6.3,-8.7,-14.1,-20.4,-6.24,3.97,-2.92,-534.10,16.26,7.49
2022-09-03 16:51:00,-45,123,-12.3,-6.4,-9.0,-13.7,-20.1,-6.23,3.61,-3.15,999999,999999,999999
2022-09-03 16:52:00,-58,130,-12.3,-6.6,-9.2,-13.7,-19.8,-6.21,3.64,-3.12,999999,999999,999999
2022-09-03 16:53:00,-75,122,-12.7,-6.9,-11.1,-13.1,-19.5,999999,999999,999999,999999,999999,999999
2022-09-03 16:54:00,-80,112,-12.5,-7.3,-11.0,-12.7,-19.0,-5.86,3.20,-4.22,999999,999999,999999
2022-09-03 16:55:00,-77,115,-12.5,-7.6,-11.1,-12.6,-18.7,-5.90,3.01,-4.24,999999,999999,999999
2022-09-03 16:56:00,-77,125,-12.3,-7.4,-10.7,-12.8,-18.3,-5.34,3.34,-4.70,999999,999999,999999
2022-09-03 16:57:00,-79,139,-12.1,-7.3,-10.5,-12.9,-17.8,-5.26,3.74,-4.64,999999,999999,999999
2022-09-03 16:58:00,-87,152,-12.0,-7.6,-10.4,-12.2,-17.6,-5.36,3.81,-4.40,999999,999999,999999
2022-09-03 16:59:00,-95,168,-11.7,-8.0,-10.2,-11.3,-17.3,-5.39,3.80,-4.53,999999,999999,999999
2022-09-03 17:00:00,-123,177,-11.4,-7.9,-9.9,-10.9,-16.7,-5.48,3.70,-4.62,-522.70,1.57,6.59
2022-09-03 17:01:00,-141,180,-11.1,-8.0,-9.8,-10.4,-16.4,-5.38,3.97,-4.50,-522.70,1.56,6.59
2022-09-03 17:02:00,-175,185,-11.1,-8.3,-9.4,-10.4,-16.5,-5.13,4.11,-4.56,-522.70,1.56,6.59
2022-09-03 17:03:00,-234,206,-10.9,-8.6,-9.7,-9.7,-15.7,-4.95,4.35,-4.49,-519.30,-17.95,15.99
