time energy_keV flux_at_tel0_#/cm2-s-str flux_at_tel90 flux_error_at_tel0 flux_error_at_tel90 alt lat lon
 2022-09-04/04:20:00  40        241.94      95443.55     76.00     50.00  851.30   34.12  263.16
 2022-09-04/04:20:00 130        138.89      62743.05     74.00     22.00  851.30   34.12  263.16
 2022-09-04/04:20:00 287          0.00       7466.67      0.00     29.00  851.30   34.12  263.16
 2022-09-04/04:20:00 612        363.64          0.00    101.00      0.00  851.30   34.12  263.16
 2022-09-04/04:20:02  40        403.23      90282.26     67.00     50.00  851.30   34.24  263.13
 2022-09-04/04:20:02 130        208.33      59409.72     62.00     22.00  851.30   34.24  263.13
 2022-09-04/04:20:02 287          0.00       4600.00      0.00     31.00  851.30   34.24  263.13
 2022-09-04/04:20:02 612          0.00          0.00      0.00      0.00  851.30   34.24  263.13
 2022-09-04/04:20:04  40        161.29      95443.55     87.00     50.00  851.30   34.36  263.09
 2022-09-04/04:20:04 130        138.89      66076.38     74.00     22.00  851.30   34.36  263.09
 2022-09-04/04:20:04 287        266.67       5400.00     75.00     30.00  851.30   34.36  263.09
 2022-09-04/04:20:04 612          0.00        181.82      0.00    124.00  851.30   34.36  263.09
 2022-09-04/04:20:06  40        645.16      95443.55     61.00     50.00  851.30   34.47  263.06
 2022-09-04/04:20:06 130        347.22      62743.05     50.00     22.00  851.30   34.47  263.06
 2022-09-04/04:20:06 287          0.00       5666.67      0.00     30.00  851.30   34.47  263.06
 2022-09-04/04:20:06 612          0.00        181.82      0.00    124.00  851.30   34.47  263.06
 2022-09-04/04:20:08  40        161.29      95443.55     87.00     50.00  851.30   34.59  263.02
 2022-09-04/04:20:08 130         69.44      59409.72    102.00     22.00  851.30   34.59  263.02
 2022-09-04/04:20:08 287        133.33       4266.67    103.00     31.00  851.30   34.59  263.02
 2022-09-04/04:20:08 612          0.00        181.82      0.00    124.00  851.30   34.59  263.02
 2022-09-04/04:20:10  40        241.94     100604.84     76.00     50.00  851.30   34.71  262.98
 2022-09-04/04:20:10 130         69.44      66076.38    102.00     22.00  851.30   34.71  262.98
 2022-09-04/04:20:10 287          0.00       5400.00      0.00     30.00  851.30   34.71  262.98
 2022-09-04/04:20:10 612          0.00          0.00      0.00      0.00  851.30   34.71  262.98
 2022-09-04/04:20:12  40        241.94      95443.55     76.00     50.00  851.30   34.82  262.95
 2022-09-04/04:20:12 130        208.33      62743.05     62.00     22.00  851.30   34.82  262.95
 2022-09-04/04:20:12 287        133.33       3333.33    103.00     32.00  851.30   34.82  262.95
 2022-09-04/04:20:12 612        181.82        181.82    124.00    124.00  851.30   34.82  262.95
 2022-09-04/04:20:14  40        241.94     100604.84     76.00     50.00  851.30   34.94  262.91
 2022-09-04/04:20:14 130         69.44      66076.38    102.00     22.00  851.30   34.94  262.91
